Streamer,Date,Duration,Viewers
alanzoka,2020-07-06T18:14:00Z,7h11m19s,51712
alanzoka,2020-07-03T18:49:51Z,9h33m47s,78031
alanzoka,2020-07-02T18:35:10Z,7h59m12s,47541
alanzoka,2020-07-01T18:21:04Z,8h13m36s,48373
alanzoka,2020-06-30T18:26:38Z,8h7m16s,53760
alanzoka,2020-06-29T18:49:33Z,8h24m26s,50141
alanzoka,2020-06-29T18:19:50Z,26m30s,8190
alanzoka,2020-06-26T18:15:42Z,6h37m22s,94819
alanzoka,2020-06-25T20:00:00Z,4h28m48s,38937
alanzoka,2020-06-25T19:12:43Z,46m12s,12496
alanzoka,2020-06-25T18:23:38Z,48m16s,18407
alanzoka,2020-06-24T22:54:03Z,6h4m9s,404002
alanzoka,2020-06-24T22:53:02Z,5h37m50s,278420
alanzoka,2020-06-24T22:50:24Z,28m28s,46549
alanzoka,2020-06-24T22:49:17Z,34m38s,52551
alanzoka,2020-06-23T18:18:24Z,6h26m12s,378307
alanzoka,2020-06-22T18:08:23Z,6h13m21s,375847
alanzoka,2020-06-21T19:30:20Z,34m34s,88424
alanzoka,2020-06-21T18:33:13Z,52m50s,82393
alanzoka,2020-06-20T15:00:42Z,6h4m35s,380706
alanzoka,2020-06-20T14:59:31Z,1h56m7s,119357
alanzoka,2020-06-20T14:58:44Z,7h51m59s,327662
alanzoka,2020-06-19T20:23:08Z,6h10m37s,488552
alanzoka,2020-06-19T18:14:52Z,2h6m48s,182144
alanzoka,2020-06-19T18:10:00Z,4m30s,24185
alanzoka,2020-06-18T18:18:42Z,8h17m4s,710084
alanzoka,2020-06-17T18:26:38Z,6h55m38s,101661
alanzoka,2020-06-17T02:05:41Z,6h50m43s,153235
alanzoka,2020-06-16T18:20:09Z,7h25m51s,182527
alanzoka,2020-06-16T02:36:58Z,6h36m44s,226711
alanzoka,2020-06-15T18:28:19Z,7h32m3s,245354
alanzoka,2020-06-14T22:29:32Z,4h46m14s,11295
alanzoka,2020-06-14T22:27:21Z,3h54m27s,25302
alanzoka,2020-06-12T18:43:08Z,4h24m28s,57967
alanzoka,2020-06-11T18:24:22Z,8h6m4s,121162
alanzoka,2020-06-10T18:29:38Z,6h49m34s,59048
alanzoka,2020-06-09T18:31:59Z,7h43m3s,51682
